Field of study,MedianIncome
Education,45700.00
"Visual and performing arts, and communications technologies",45400.00
Humanities,27100.00
Social and behavioural sciences and law,44900.00
"Business, management and public administration",54300.00
Physical and life sciences and technologies,53900.00
"Mathematics, computer and information sciences",56100.00
"Architecture, engineering, and related technologies",64800.00
"Agriculture, natural resources and conservation",43400.00
Health and related fields,63700.00
"Personal, protective and transportation services",73700.00
Other instructional programs,0.00
