"Characteristics and median employment income of postsecondary graduates five years after graduation, by educational qualification and field of study (primary groupings) 1 2"
"Frequency: Occasional"
"Table: 37-10-0114-01"
"Release date: 2024-04-17"
"Geography: Geographical region of Canada, Province or territory"
""
""

,"Geography","Quebec 5",
,"Gender","Total, gender",
,"Age group 3","15 to 64 years",
,"Status of student in Canada 4","Canadian and international students",
,"Characteristics after graduation","Graduates reporting employment income 6",
,"Graduate statistics","Number of graduates 7 8","Median employment income 7 9"
"Educational qualification 10","Field of study 11","2017","2017"
,,"Number","2022 constant dollars"
"Career, technical or professional training certificate","Total, field of study","0","x"
,"Education","..",".."
,"Visual and performing arts, and communications technologies","..",".."
,"Humanities","..",".."
,"Social and behavioural sciences and law","..",".."
,"Business, management and public administration","0","x"
,"Physical and life sciences and technologies","..",".."
,"Mathematics, computer and information sciences","..",".."
,"Architecture, engineering, and related technologies","..",".."
,"Agriculture, natural resources and conservation","..",".."
,"Health and related fields","..",".."
,"Personal, protective and transportation services","..",".."
,"Other instructional programs","..",".."
"Career, technical or professional training diploma","Total, field of study","16,450","55,700"
,"Education","1,500","45,700"
,"Visual and performing arts, and communications technologies","1,180","45,400"
,"Humanities","70","27,100"
,"Social and behavioural sciences and law","1,210","44,900"
,"Business, management and public administration","3,730","54,300"
,"Physical and life sciences and technologies","290","53,900"
,"Mathematics, computer and information sciences","510","56,100"
,"Architecture, engineering, and related technologies","2,000","64,800"
,"Agriculture, natural resources and conservation","240","43,400"
,"Health and related fields","4,560","63,700"
,"Personal, protective and transportation services","1,160","73,700"
,"Other instructional programs","..",".."
"Undergraduate degree 10","Total, field of study","30,500","66,000"
,"Education","3,430","58,800"
,"Visual and performing arts, and communications technologies","1,040","49,000"
,"Humanities","1,200","49,800"
,"Social and behavioural sciences and law","5,070","59,500"
,"Business, management and public administration","9,330","70,500"
,"Physical and life sciences and technologies","1,220","60,900"
,"Mathematics, computer and information sciences","560","84,100"
,"Architecture, engineering, and related technologies","3,930","82,000"
,"Agriculture, natural resources and conservation","360","61,300"
,"Health and related fields","3,540","76,600"
,"Personal, protective and transportation services","70","77,700"
,"Other instructional programs","750","64,800"
"Professional degree 12","Total, field of study","2,400","99,200"
,"Education","..",".."
,"Visual and performing arts, and communications technologies","..",".."
,"Humanities","..",".."
,"Social and behavioural sciences and law","1,060","83,500"
,"Business, management and public administration","..",".."
,"Physical and life sciences and technologies","..",".."
,"Mathematics, computer and information sciences","..",".."
,"Architecture, engineering, and related technologies","..",".."
,"Agriculture, natural resources and conservation","..",".."
,"Health and related fields","1,340","122,500"
,"Personal, protective and transportation services","..",".."
,"Other instructional programs","..",".."
"Master's degree","Total, field of study","10,640","78,300"
,"Education","840","76,000"
,"Visual and performing arts, and communications technologies","310","44,700"
,"Humanities","440","55,200"
,"Social and behavioural sciences and law","1,500","68,800"
,"Business, management and public administration","2,900","96,400"
,"Physical and life sciences and technologies","600","67,200"
,"Mathematics, computer and information sciences","540","87,700"
,"Architecture, engineering, and related technologies","1,860","80,500"
,"Agriculture, natural resources and conservation","250","64,300"
,"Health and related fields","1,390","76,500"
,"Personal, protective and transportation services","0","x"
,"Other instructional programs","10","x"
"Doctoral degree","Total, field of study","1,620","90,000"
,"Education","70","101,600"
,"Visual and performing arts, and communications technologies","50","53,500"
,"Humanities","100","76,800"
,"Social and behavioural sciences and law","390","88,800"
,"Business, management and public administration","70","124,800"
,"Physical and life sciences and technologies","360","82,800"
,"Mathematics, computer and information sciences","50","102,900"
,"Architecture, engineering, and related technologies","390","96,600"
,"Agriculture, natural resources and conservation","60","74,000"
,"Health and related fields","80","96,700"
,"Personal, protective and transportation services","..",".."
,"Other instructional programs","0","x"

Symbol legend:
.., not available for a specific reference period
x, suppressed to meet the confidentiality requirements of the Statistics Act




Footnotes:
1,"Cross-sectional analysis: Graduates of each cohort are observed five years after graduation (for example, graduates of calendar year 2010 are observed in 2015). The criteria used to define the graduate subpopulations shown under Characteristics after graduation are only applied in the year of the earnings measurement. See the technical reference guide <a href="https://www150.statcan.gc.ca/n1/pub/37-20-0001/372000012024001-eng.htm" rel="external noopener noreferrer" target="_blank">Labour market outcomes for college and university graduates, 2010 to 2020 (opens new window)</a> for further information."
2,"The data are subject to annual revision. The year chosen for constant dollars may also be updated."
3,"Refers to the age of graduates on December 31st of the year of graduation. The study population only includes graduates between 15 and 64 years old."
