"Canadian undergraduate tuition fees by field of study (current dollars) c 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 37-10-0003-01 (formerly CANSIM 477-0021)"
"Release date: 2024-09-04"
"Geography: Canada, Province or territory"
""
""

"Geography","Quebec",,,,
"Field of study","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025"
,"Current dollars",,,,
"Total, field of study","3,152","3,272","3,360","3,489","3,594"
"Education","2,731","2,855","2,944","3,029","3,120"
"Visual and performing arts, and communications technologies","3,124","3,269","3,352","3,470","3,574"
"Humanities","4,219","4,367","4,604","4,919","5,066"
"Social and behavioural sciences, and legal studies","3,248","3,366","3,432","3,552","3,658"
"Law","3,027","3,171","3,231","3,361","3,462"
"Business, management and public administration","3,127","3,247","3,355","3,498","3,603"
"Physical and life sciences and technologies","3,429","3,558","3,581","3,669","3,779"
"Mathematics, computer and information sciences","3,288","3,431","3,539","3,748","3,860"
"Engineering","3,049","3,186","3,305","3,460","3,564"
"Architecture","2,861","2,945","3,030","3,154","3,249"
"Agriculture, natural resources and conservation","3,035","3,142","3,236","3,451","3,555"
"Dentistry","3,932","4,021","4,051","4,204","4,330"
"Medicine","3,536","3,674","3,733","3,792","3,905"
"Nursing","2,808","2,885","2,927","2,989","3,079"
"Pharmacy","2,732","2,841","2,905","3,009","3,099"
"Veterinary medicine","2,747","2,855","2,927","3,000","3,089"
"Optometry","3,202","3,192","3,221","3,358","3,458"
"Other health, parks, recreation and fitness","3,160","3,273","3,321","3,413","3,515"
"Personal, protective and transportation services","2,700","2,865","2,952","2,985","3,075"


"Table Corrections:"
Date,Note
"2020-10-21","On October 21, 2020, the Tuition and Living Accommodation Costs survey data have been corrected for the reference years 2019/2020 and 2020/2021 due to an error that occurred during data processing that impacted one Alberta college. This error impacts the average tuition fees for Alberta and Canada for Canadian and international undergraduate students. Two fields of study were impacted – Visual and performing arts, and communications technologies and Other health, parks, recreation and fitness."



Footnotes:
1,"Data for 2024/2025 are preliminary."
2,"The national and provincial tuition fee averages are weighted with the latest enrolment data (2021/2022 Postsecondary Student Information System). If the number of enrolments is unknown for a given program, that program is excluded from the averages. The same enrolment data are used for the weighting of both years, 2023/2024 and 2024/2025, thereby permitting the comparison of changes in the tuition fees only."
3,"As the distribution of enrolment varies from period to period, caution must be exercised when making long-term historical comparisons."
4,"For Quebec (since 1998/1999), Nova Scotia (since 2007/2008), and Newfoundland and Labrador (since 2018/2019), the weighted averages take into account the different fees paid by "in province" and "out of province" Canadian students."
5,"It is important to note that tuition fee increases are generally regulated by provincial policies. However, some programs may be exempted from these policies resulting in possible increases that exceed provincial limits."
6,"Data in this release do not take into account financial assistance or tax rebates provided to students. "
7,"The fields of study are adapted from the 2016 Classification of Instructional Programs (CIP), Statistics Canada's standard for the classification of instructional programs."



"How to cite: Statistics Canada. Table 37-10-0003-01  Canadian undergraduate tuition fees by field of study (current dollars)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3710000301
